user_id,tenant_company,tenant_first_name,tenant_name,owner_name,owner_email,tenant_gender,tenant_address,num_lot,monthly_rent,rent_balance,overdue_days,next_revision,end_date,nature,Départ
1,MIDI MAS,Anne-Catherine,BREARD-GOULVEN,Antoine MALLET,antoinemallet@gmail.com,F,10 PASSAGE MONTBRUN,1,860,1720,60,8/30/2017,8/30/2019,Commercial 3 ans,8/30/2016
1,JOUETS ECOIFFIER,Christiane,ARNAUD,Patrick MAHE,patrickmahe@gmail.com,F,128 Rue de Vaugirard,1,1650,3300,60,8/25/2017,8/25/2018,Commercial 3 ans,8/25/2015
1,silc sa,Carole,HANEN,Francis DENIAU,francisdeniau@gmail.com,F,19 Rue Casimir Perier,1,3780,7560,60,4/1/2017,4/6/2019,Commercial 3 ans,4/6/2016
1,AMG INFORMATIQUE,Manou,RENAULT,Nicolas GRANDEMANGE,nicolasgrandemange@gmail.com,F,36 rue Cler,1,2210,4420,60,4/14/2017,4/14/2018,Commercial 3 ans,4/14/2015
1,ETD,Claudine,CAZAUX,Erwan MERIENNE,erwanmerienne@gmail.com,F,13 Rue Robert Fleury,1,4030,8060,60,9/27/2017,9/27/2019,Commercial 3 ans,9/27/2016
1,CIBLES ET STRATEGIES,Christophe,VILLECHAISE,Virginie JAMIN,virginiejamin@gmail.com,F,4 Place du Marche,1,370,740,60,7/8/2017,7/8/2019,Commercial 3 ans,7/8/2016
1,BONAFINI,Bruno,THOUVENEL,Eric JEAULT,ericjeault@gmail.com,F,17 Rue Eugene Gibez,1,4180,8360,60,7/18/2017,7/18/2017,Commercial 3 ans,7/18/2014
1,CFAI / AFPI  DE L'EURE,Guy,BUREAU,Miguel BRETON,miguelbreton@gmail.com,F,"67, rue de la Fédération",1,960,1920,60,7/1/2015,7/1/2018,Commercial 3 ans,7/1/2015
1,la paix,Frédéric,GIRAUD,Loick DANIEL,loickdaniel@gmail.com,F,28 Rue Duranton,1,1220,2440,60,4/1/2017,4/8/2019,Commercial 3 ans,4/8/2016
1,EARL DAVID FOURTOUT,Sébastien,VIALLE,Didier HUNAUT,didierhunaut@gmail.com,F,47 Rue du Moulin Vert,1,1270,2540,60,6/11/2017,6/11/2017,Commercial 3 ans,6/11/2014
1,CRÉDIT MUTUEL DE BRETAGNE,Fabio,VENDEUVRE,Bernard GUEDON,bernardguedon@gmail.com,F,36/38 RUE VICTOR MASSE,1,3750,7500,60,5/29/2017,5/29/2018,Commercial 3 ans,5/29/2015
1,BANQUE POPULAIRE FRANCHE COMTE,Laurent,NORDON,Stephane LACHAZE,stephanelachaze@gmail.com,F,322 RUE ST JACQUES,1,2100,4200,60,8/13/2017,8/13/2018,Commercial 3 ans,8/13/2015
1,VAXAN,Jean-Paul,SALEUR,Alexandre GAUFILLET,alexandregaufillet@gmail.com,F,9/11 Rue Dupleix,1,2630,5260,60,5/26/2017,5/26/2020,Commercial 3 ans,5/26/2016
1,SOCOBA,Vincent,DEMA,Pierre BUCHARD,pierrebuchard@gmail.com,F,29 Av de Lowendal,1,3750,7500,60,2/1/2017,2/1/2017,Commercial 3 ans,2/1/2014
